"id","code","name","retention"
tax_type_0,"01","TOTAL DE IVA",False
tax_type_1,"02","TOTAL DE IMPUESTO AL CONSUMO",False
tax_type_2,"03","TOTAL DE ICA",False
tax_type_3,"04","CONTRIBUCIONES",False
tax_type_4,"05","RESERVADO PARA LA DIAN",False
tax_type_5,"06","RESERVADO PARA LA DIAN",False
tax_type_6,"07","RESERVADO PARA LA DIAN",False
tax_type_7,"08","RESERVADO PARA LA DIAN",False
tax_type_8,"09","RESERVADO PARA LA DIAN",False
tax_type_9,"01C","RETENCIÓN EN LA FUENTE",True
tax_type_10,"02C","RETENCIÓN DEL IVA ",True
tax_type_11,"03C","RETENCIÓN DEL ICA",True
tax_type_12,"13C","RETENCIÓN DE TIMBRE",True
tax_type_13,"19C","RETENCIÓN DEL CREE",True