id,code
l10n_lu.account_tax_report_line_3a_1_invoiced_by_other_taxable_person,LUTAX_458
l10n_lu.account_tax_report_line_2e_1_a_tax,LUTAX_462
l10n_lu.account_tax_report_line_2d_1_tax_17,LUTAX_722
l10n_lu.account_tax_report_line_2e_1_base,LUTAX_436
l10n_lu.account_tax_report_line_2a_breakdown_taxable_turnover_base,LUTAX_037
l10n_lu.account_tax_report_line_1a_telecom_service,LUTAX_471
l10n_lu.account_tax_report_line_2f_supply_goods_tax_8,LUTAX_764
l10n_lu.account_tax_report_line_2f_supply_goods_base_8,LUTAX_763
l10n_lu.account_tax_report_line_3a_total_input_tax,LUTAX_093
l10n_lu.account_tax_report_line_4a_total_tax_due,LUTAX_103
l10n_lu.account_tax_report_line_1b_1_intra_community_goods_pi_vat,LUTAX_457
l10n_lu.account_tax_report_line_3b1_rel_trans,LUTAX_094
l10n_lu.account_tax_report_line_1a_overall_turnover,LUTAX_012
l10n_lu.account_tax_report_line_2e_3_base_17,LUTAX_761
l10n_lu.account_tax_report_line_1b_exemptions_deductible_amounts,LUTAX_021
l10n_lu.account_tax_report_line_1b_2_export,LUTAX_014
l10n_lu.account_tax_report_line_3a_2_due_respect_intra_comm_goods,LUTAX_459
l10n_lu.account_tax_report_line_3b2_ded_prop,LUTAX_095
l10n_lu.account_tax_report_line_3b_total_input_tax_nd,LUTAX_097
l10n_lu.account_tax_report_line_4a_total_input_tax_deductible,LUTAX_104
l10n_lu.account_tax_report_line_2e_3_tax_17,LUTAX_762
l10n_lu.account_tax_report_line_2e_2_tax,LUTAX_464
l10n_lu.account_tax_report_line_2d_1_tax_14,LUTAX_724
l10n_lu.account_tax_report_line_2a_breakdown_taxable_turnover_tax,LUTAX_046
l10n_lu.account_tax_report_line_2e_2_base,LUTAX_463
l10n_lu.account_tax_report_line_1a_total_sale,LUTAX_454
l10n_lu.account_tax_report_line_1a_other_sales,LUTAX_472
l10n_lu.account_tax_report_line_1c_taxable_turnover,LUTAX_022
l10n_lu.account_tax_report_line_1b_3_other_exemptions_art_43,LUTAX_015
l10n_lu.account_tax_report_line_2e_3_base,LUTAX_765
l10n_lu.account_tax_report_line_2b_intra_community_acqui_of_goods_base,LUTAX_051
l10n_lu.account_tax_report_line_2e_3_tax,LUTAX_766
l10n_lu.account_tax_report_line_2d_1_base_17,LUTAX_721
l10n_lu.account_tax_report_line_1a_app_goods_non_bus,LUTAX_455
l10n_lu.account_tax_report_line_3c_total_input_tax_deductible,LUTAX_102
l10n_lu.account_tax_report_line_3a_3_due_paid_respect_importation_goods,LUTAX_460
l10n_lu.account_tax_report_line_4c_exceeding_amount,LUTAX_105
l10n_lu.account_tax_report_line_2d_1_tax_8,LUTAX_726
l10n_lu.account_tax_report_line_2d_1_tax_3,LUTAX_068
l10n_lu.account_tax_report_line_2d_1_base_14,LUTAX_723
l10n_lu.account_tax_report_line_1a_non_bus_gs,LUTAX_456
l10n_lu.account_tax_report_line_1b_4_other_exemptions_art_44_et_56quater,LUTAX_016
l10n_lu.account_tax_report_line_2b_intra_community_acquisitions_goods_tax,LUTAX_056
l10n_lu.account_tax_report_line_3a_4_due_respect_application_goods,LUTAX_090
l10n_lu.account_tax_report_line_2d_2_tax_17,LUTAX_732
l10n_lu.account_tax_report_line_2d_1_base_8,LUTAX_725
l10n_lu.account_tax_report_line_2c_acquisitions_triangular_transactions_base,LUTAX_152
l10n_lu.account_tax_report_line_1b_5_manufactured_tobacco_vat_collected,LUTAX_017
l10n_lu.account_tax_report_line_3a_5_due_under_reverse_charge,LUTAX_461
l10n_lu.account_tax_report_line_2e_2_tax_17,LUTAX_752
l10n_lu.account_tax_report_line_2b_tax_17,LUTAX_712
l10n_lu.account_tax_report_line_2e_1_a_tax_17,LUTAX_742
l10n_lu.account_tax_report_line_2b_base_17,LUTAX_711
l10n_lu.account_tax_report_line_2b_tax_14,LUTAX_714
l10n_lu.account_tax_report_line_2a_base_17,LUTAX_701
l10n_lu.account_tax_report_line_2e_2_tax_14,LUTAX_754
l10n_lu.account_tax_report_line_2d_1_base_3,LUTAX_059
l10n_lu.account_tax_report_line_2e_1_a_tax_14,LUTAX_744
l10n_lu.account_tax_report_line_3a_6_paid_joint_several_guarantee,LUTAX_092
l10n_lu.account_tax_report_line_2d_2_tax_14,LUTAX_734
l10n_lu.account_tax_report_line_2a_tax_17,LUTAX_702
l10n_lu.account_tax_report_line_2e_1_a_base_17,LUTAX_741
l10n_lu.account_tax_report_line_1b_6_a_subsequent_to_intra_community,LUTAX_018
l10n_lu.account_tax_report_line_2e_2_base_17,LUTAX_751
l10n_lu.account_tax_report_line_2d_importation_of_goods_base,LUTAX_065
l10n_lu.account_tax_report_line_2a_base_14,LUTAX_703
l10n_lu.account_tax_report_line_1b_6_b1_non_exempt_customer_vat,LUTAX_423
l10n_lu.account_tax_report_line_2e_2_base_14,LUTAX_753
l10n_lu.account_tax_report_line_2b_tax_8,LUTAX_716
l10n_lu.account_tax_report_line_2d_importation_of_goods_tax,LUTAX_407
l10n_lu.account_tax_report_line_2e_2_tax_8,LUTAX_756
l10n_lu.account_tax_report_line_2e_1_a_base_14,LUTAX_743
l10n_lu.account_tax_report_line_2a_tax_14,LUTAX_704
l10n_lu.account_tax_report_line_2d_2_tax_8,LUTAX_736
l10n_lu.account_tax_report_line_2d_1_base_exempt,LUTAX_195
l10n_lu.account_tax_report_line_2e_1_a_tax_8,LUTAX_746
l10n_lu.account_tax_report_line_2b_base_14,LUTAX_713
l10n_lu.account_tax_report_line_3a_7_adjusted_tax_special_arrangement,LUTAX_228
l10n_lu.account_tax_report_line_2e_supply_of_service_for_customer,LUTAX_409
l10n_lu.account_tax_report_line_2d_2_base_17,LUTAX_731
l10n_lu.account_tax_report_line_2d_2_tax_3,LUTAX_073
l10n_lu.account_tax_report_line_2e_2_base_8,LUTAX_755
l10n_lu.account_tax_report_line_2b_tax_3,LUTAX_054
l10n_lu.account_tax_report_line_2e_1_a_tax_3,LUTAX_432
l10n_lu.account_tax_report_line_2e_1_a_base_8,LUTAX_745
l10n_lu.account_tax_report_line_2a_tax_8,LUTAX_706
l10n_lu.account_tax_report_line_2e_2_tax_3,LUTAX_442
l10n_lu.account_tax_report_line_1b_6_b2_exempt_ms_customer,LUTAX_424
l10n_lu.account_tax_report_line_2a_base_8,LUTAX_705
l10n_lu.account_tax_report_line_2b_base_8,LUTAX_715
l10n_lu.account_tax_report_line_2a_tax_3,LUTAX_040
l10n_lu.account_tax_report_line_2a_base_3,LUTAX_031
l10n_lu.account_tax_report_line_2d_2_base_14,LUTAX_733
l10n_lu.account_tax_report_line_2e_1_a_base_3,LUTAX_431
l10n_lu.account_tax_report_line_2b_base_3,LUTAX_049
l10n_lu.account_tax_report_line_2e_supply_of_service_for_customer_liable_for_payment_tax,LUTAX_410
l10n_lu.account_tax_report_line_1b_6_c_supplies_scope_special_arrangement,LUTAX_226
l10n_lu.account_tax_report_line_2e_2_base_3,LUTAX_441
l10n_lu.account_tax_report_line_2e_2_exempt,LUTAX_445
l10n_lu.account_tax_report_line_1b_6_d_supplies_other_referred,LUTAX_019
l10n_lu.account_tax_report_line_2f_supply_goods_base,LUTAX_767
l10n_lu.account_tax_report_line_2e_1_b_exempt,LUTAX_435
l10n_lu.account_tax_report_line_2d_2_base_8,LUTAX_735
l10n_lu.account_tax_report_line_2b_base_exempt,LUTAX_194
l10n_lu.account_tax_report_line_1b_7_inland_supplies_for_customer,LUTAX_419
l10n_lu.account_tax_report_line_2d_2_base_3,LUTAX_063
l10n_lu.account_tax_report_line_2f_supply_goods_tax,LUTAX_768
l10n_lu.account_tax_report_line_2d_2_base_exempt,LUTAX_196
l10n_lu.account_tax_report_line_2g_special_arrangement,LUTAX_227
l10n_lu.account_tax_report_line_2h_total_tax_due,LUTAX_076
